,userID,itemID,styleID,rating,brewerID,timestamp
0,4924,11757,1199,4.5,1199,1247372118
1,4924,5441,1199,4.5,1199,1209176445
2,4924,19960,1199,5.0,1199,1223914717
3,2916,55900,1199,2.5,1199,1291336093
4,2916,57110,14879,4.0,14879,1279318326
5,2916,21822,1199,4.0,1199,1292025037
6,2916,11757,1199,4.0,1199,1258767118
7,6936,1550,394,4.0,394,1175731214
8,2396,54731,263,4.0,263,1299794248
9,5497,429,1,4.5,1,1233466983
10,6330,5441,1199,4.0,1199,1205767231
11,6330,20539,394,3.5,394,1202134563
12,4251,21556,568,2.5,568,1264371109
13,7749,11757,1199,5.0,1199,1126160084
14,7749,7675,3268,4.5,3268,1125287650
15,4136,11493,5313,1.5,5313,1211390912
16,4136,43893,7402,4.0,7402,1266737701
17,4136,17010,577,3.5,577,1202436466
18,4136,10656,5049,5.0,5049,1211392041
19,6664,30618,10541,4.0,10541,1189803298
20,694,7348,1199,3.0,1199,1320551237
21,1469,58053,395,2.5,395,1305573786
22,1469,25852,1199,4.0,1199,1310764025
23,1469,11757,1199,4.0,1199,1307833189
24,1469,16074,1199,4.0,1199,1307468967
25,1469,60511,1199,4.5,1199,1312836854
26,1469,19960,1199,5.0,1199,1304792857
27,3820,7675,3268,3.5,3268,1125973609
28,3820,19960,1199,4.0,1199,1271558097
29,3820,5441,1199,4.0,1199,1180748312
30,3820,20478,1199,4.5,1199,1222140465
31,3820,11757,1199,4.5,1199,1226708590
32,3820,1525,568,4.0,568,1196990873
33,3820,10649,1454,4.5,1454,1248562709
34,3820,21822,1199,5.0,1199,1262492197
35,3820,28350,3268,4.0,3268,1178758395
36,3820,33624,14879,3.5,14879,1272770252
37,3820,29145,263,3.0,263,1262562680
38,3820,24059,3268,3.0,3268,1246418168
39,3820,7463,1199,4.0,1199,1268536111
40,3820,7672,3268,4.5,3268,1187316720
41,3820,1018,263,2.0,263,1262669692
42,3820,17538,1199,4.0,1199,1187144212
43,8172,429,1,3.5,1,1065012943
44,8172,727,263,4.0,263,1065329286
45,4840,3824,1417,4.5,1417,1249431947
46,6803,3824,1417,3.5,1417,1182734143
47,4825,17538,1199,4.0,1199,1249706034
48,6035,28350,3268,4.5,3268,1216245304
49,7693,962,365,2.5,365,1131040221
50,266,11757,1199,4.0,1199,1324387683
51,6355,33624,14879,4.5,14879,1204816612
52,2297,19960,1199,5.0,1199,1301024689
53,7846,4904,1417,4.0,1417,1115246755
54,7954,429,1,4.5,1,1102888187
55,1453,45482,16386,4.0,16386,1313079723
56,1453,19960,1199,4.5,1199,1313073496
57,7264,436,163,3.0,163,1157869654
58,2501,11757,1199,4.5,1199,1298237269
59,2501,28951,13397,4.0,13397,1291941443
60,2501,60511,1199,3.5,1199,1285808044
61,2501,41778,10541,4.0,10541,1285283579
62,2501,48911,1199,2.5,1199,1283829165
63,275,69894,1199,4.5,1199,1312052970
64,275,35036,1199,3.5,1199,1289614327
65,275,11757,1199,4.5,1199,1318121438
66,275,34146,1199,4.0,1199,1296352936
67,275,47658,1199,4.5,1199,1318800529
68,275,60511,1199,4.0,1199,1284254846
69,275,17538,1199,3.0,1199,1279590562
70,275,21822,1199,4.5,1199,1324259794
71,275,19960,1199,5.0,1199,1300407578
72,1981,34146,1199,4.5,1199,1305219650
73,3189,20478,1199,4.5,1199,1287400647
74,938,35036,1199,4.0,1199,1318644582
75,2533,962,365,2.5,365,1297824731
76,6797,31705,13905,5.0,13905,1176695070
77,6797,429,1,4.0,1,1103350521
78,6797,1324,263,4.0,263,1183101367
79,6797,21556,568,4.0,568,1108105105
80,6797,36376,13905,4.0,13905,1176694735
81,6797,34808,13905,4.5,13905,1176694864
82,6797,8590,765,1.0,765,1097953311
83,3300,43893,7402,1.5,7402,1276573924
84,3300,1542,576,1.0,576,1285305355
85,3300,15894,2724,1.5,2724,1280811779
86,3300,39606,2724,4.5,2724,1278811077
87,3300,3939,1417,4.0,1417,1260746064
88,3516,24905,1199,4.5,1199,1280799152
89,8267,959,365,4.0,365,1042662716
90,8267,962,365,4.5,365,1042745588
91,1256,47658,1199,5.0,1199,1294298360
92,1256,25852,1199,4.5,1199,1312911770
93,1256,7463,1199,4.0,1199,1298789525
94,1256,17538,1199,4.0,1199,1315454762
95,1256,51483,9020,4.0,9020,1315361475
96,1256,55900,1199,4.0,1199,1296700592
97,1256,47695,14879,4.0,14879,1299821415
98,1256,53468,1199,4.0,1199,1294299353
99,1256,11757,1199,4.5,1199,1304850296
100,1256,19960,1199,4.5,1199,1250655363
101,1256,58053,395,3.0,395,1303543017
102,1256,21822,1199,4.5,1199,1301881628
103,1256,35036,1199,4.0,1199,1306465714
104,1256,60511,1199,5.0,1199,1295925525
105,1256,40153,14879,4.0,14879,1296607557
106,6638,33927,14879,4.0,14879,1181404743
107,6638,13350,3268,4.0,3268,1159135563
