,obsNo,userID,itemID,styleID,rating,brewerID,timestamp
2,2,4924,19960,1199,5.0,1199,1223914717
4,4,2916,57110,14879,4.0,14879,1279318326
5,5,2916,21822,1199,4.0,1199,1292025037
14,14,7749,7675,3268,4.5,3268,1125287650
15,15,4136,11493,5313,1.5,5313,1211390912
22,22,1469,25852,1199,4.0,1199,1310764025
29,29,3820,5441,1199,4.0,1199,1180748312
30,30,3820,20478,1199,4.5,1199,1222140465
41,41,3820,1018,263,2.0,263,1262669692
44,44,8172,727,263,4.0,263,1065329286
48,48,6035,28350,3268,4.5,3268,1216245304
52,52,2297,19960,1199,5.0,1199,1301024689
56,56,1453,19960,1199,4.5,1199,1313073496
58,58,2501,11757,1199,4.5,1199,1298237269
62,62,2501,48911,1199,2.5,1199,1283829165
68,68,275,60511,1199,4.0,1199,1284254846
71,71,275,19960,1199,5.0,1199,1300407578
72,72,1981,34146,1199,4.5,1199,1305219650
74,74,938,35036,1199,4.0,1199,1318644582
84,84,3300,1542,576,1.0,576,1285305355
86,86,3300,39606,2724,4.5,2724,1278811077
87,87,3300,3939,1417,4.0,1417,1260746064
92,92,1256,25852,1199,4.5,1199,1312911770
95,95,1256,51483,9020,4.0,9020,1315361475
96,96,1256,55900,1199,4.0,1199,1296700592
99,99,1256,11757,1199,4.5,1199,1304850296
100,100,1256,19960,1199,4.5,1199,1250655363
101,101,1256,58053,395,3.0,395,1303543017
103,103,1256,35036,1199,4.0,1199,1306465714
106,106,6638,33927,14879,4.0,14879,1181404743
108,108,6638,1504,568,4.0,568,1159238001
110,110,6638,25852,1199,4.5,1199,1191193155
111,111,5951,29687,395,4.0,395,1219695581
115,115,1699,1018,263,4.5,263,1304643852
119,119,82,5441,1199,4.0,1199,1317271277
121,121,82,17538,1199,4.0,1199,1318650747
124,124,5112,429,1,4.0,1,1241889268
129,129,1672,3824,1417,2.5,1417,1310168102
131,131,1672,11757,1199,3.5,1199,1223084304
143,143,3136,63020,1454,4.5,1454,1288537402
145,145,3136,39008,1454,5.0,1454,1268435695
149,149,8012,1621,394,4.5,394,1093124447
150,150,8012,9906,394,4.0,394,1086577982
154,154,710,5441,1199,4.0,1199,1320388002
156,156,710,11757,1199,4.0,1199,1294469080
161,161,4175,1504,568,3.0,568,1266198069
169,169,4400,25656,9020,3.5,9020,1245816700
170,170,4400,3517,394,4.5,394,1046512335
173,173,4400,1622,394,4.5,394,1034008388
174,174,4400,3365,395,4.5,395,1058922430
175,175,4400,11757,1199,3.5,1199,1256268073
177,177,4400,1621,394,4.0,394,1055099835
178,178,4400,16638,3268,3.5,3268,1261339088
179,179,4400,727,263,3.0,263,1199486245
180,180,4400,20470,394,2.5,394,1109296022
185,185,4400,2324,394,4.0,394,1046513760
189,189,6324,1525,568,4.0,568,1150903704
192,192,6324,6551,1254,3.5,1254,1205895951
202,202,916,60511,1199,4.5,1199,1284825697
213,213,916,55900,1199,3.5,1199,1308725297
217,217,916,20893,9020,3.5,9020,1313983062
218,218,916,34146,1199,5.0,1199,1306431101
220,220,916,47695,14879,5.0,14879,1306982551
222,222,916,17538,1199,4.5,1199,1278482035
225,225,916,4014,1315,2.5,1315,1311479190
227,227,916,29687,395,4.0,395,1284686320
232,232,5943,11757,1199,4.5,1199,1220110326
238,238,6411,5481,2100,2.5,2100,1202482570
240,240,6411,960,365,3.5,365,1090200643
246,246,3606,19960,1199,3.5,1199,1237693162
247,247,3606,11757,1199,4.0,1199,1258252698
250,250,1120,64849,24447,4.0,24447,1313000783
251,251,1120,64846,24447,4.0,24447,1313000257
262,262,6903,5411,394,4.5,394,1177288095
268,268,1216,10785,1075,4.0,1075,1271907396
269,269,1216,11757,1199,4.0,1199,1226260069
271,271,1216,20478,1199,4.0,1199,1263527695
276,276,1216,56887,3268,3.5,3268,1315973690
277,277,1216,35036,1199,3.5,1199,1240454183
279,279,1216,42948,12224,3.5,12224,1314110199
280,280,1216,7167,1315,3.5,1315,1263445627
282,282,1216,7463,1199,4.0,1199,1228012683
286,286,2502,59125,12224,4.0,12224,1298235382
292,292,4363,1418,163,3.0,163,1160840303
294,294,4363,11757,1199,3.5,1199,1177755788
295,295,4363,23474,1199,3.5,1199,1180341857
306,306,4363,5916,1,4.0,1,1212778606
307,307,4363,17610,2647,3.5,2647,1156361161
309,309,4363,5441,1199,4.0,1199,1192964021
328,328,44,3824,1417,2.5,1417,1325117580
331,331,5016,436,163,2.5,163,1234141296
335,335,5146,436,163,3.5,163,1150226701
336,336,5146,960,365,3.0,365,1241028923
339,339,1756,20893,9020,4.0,9020,1308621334
342,342,6098,1324,263,4.0,263,1114544508
345,345,1329,16074,1199,4.0,1199,1286329598
354,354,2323,21822,1199,4.5,1199,1300732214
355,355,2323,7348,1199,4.0,1199,1297311382
360,360,327,24905,1199,4.0,1199,1323752335
365,365,5608,34362,394,4.5,394,1231143711
368,368,1826,46255,16994,4.0,16994,1228068530
371,371,1826,4073,1199,4.5,1199,1255919331
372,372,1826,54731,263,3.5,263,1307582261
375,375,1826,29687,395,3.5,395,1236390268
382,382,1826,55900,1199,4.0,1199,1268021526
383,383,1826,178,60,3.5,60,1224898637
385,385,1826,48911,1199,4.0,1199,1247794090
395,395,1826,3824,1417,5.0,1417,1226370126
408,408,1826,19960,1199,4.0,1199,1249085819
412,412,1826,1018,263,4.0,263,1229742394
418,418,1826,33644,14879,4.0,14879,1257641902
419,419,1826,1598,60,4.0,60,1224898385
423,423,3080,16074,1199,5.0,1199,1286949271
425,425,3080,19960,1199,4.0,1199,1280985265
427,427,5505,11757,1199,4.5,1199,1233359502
432,432,5748,4073,1199,3.5,1199,1227113004
433,433,5748,5441,1199,4.0,1199,1226217174
434,434,7057,2324,394,3.0,394,1163856947
437,437,7057,11757,1199,5.0,1199,1164497607
438,438,7057,23474,1199,4.5,1199,1159572283
445,445,438,11757,1199,4.5,1199,1322696592
446,446,6158,7463,1199,3.5,1199,1211592151
448,448,2550,1018,263,4.0,263,1297580223
451,451,1050,48911,1199,4.0,1199,1308023574
457,457,1050,11757,1199,4.5,1199,1317675019
458,458,4908,20470,394,3.5,394,1247621735
